"LSOACODE","AVEPRICE","AVEINCOME","IMDSCORE","PTAINDEX","PTACAT"
"E01000001",1033951.89,102660,6.1,69.82,"5. Highest"
"E01000002",1010719.58,104173.33,6.3,83.78,"5. Highest"
"E01000003",601857.75,81976.67,19.5,41.74,"5. Highest"
"E01000005",470676,69676.67,26,85.89,"5. Highest"
"E01000006",238836.99,43420,22.6,22.46,"4. High"
"E01000007",183837.26,37496.67,42.5,33.3,"5. Highest"
"E01000008",185384.48,35866.67,38.3,7.39,"2. Low"
"E01000009",221102.42,40013.33,33.4,38.36,"5. Highest"
"E01000010",200068.37,39976.67,30.9,32.29,"5. Highest"
"E01000011",243556.94,39566.67,30.1,31.92,"5. Highest"
"E01000012",170330.88,38413.33,36.9,16.23,"3. Medium"
"E01000013",229079.82,37756.67,40.3,13.14,"3. Medium"
"E01000014",227537.58,37390,38.4,7.46,"2. Low"
"E01000015",195198.44,37033.33,39.1,8.3,"2. Low"
"E01000016",238998.13,38340,34.2,5.12,"2. Low"
"E01000017",248082.25,37683.33,40.6,8.2,"2. Low"
"E01000018",232961.49,38370,36.4,7.38,"2. Low"
"E01000019",243923.14,38640,34.6,4.59,"1. Lowest"
"E01000020",249291.85,38720,32.9,6.75,"2. Low"
"E01000021",238556.73,36456.67,40.8,4.87,"1. Lowest"
"E01000022",240880.66,39140,31.6,6.4,"2. Low"
"E01000023",218987.32,38946.67,38.6,7.01,"2. Low"
"E01000024",247147.78,38440,30.9,7.44,"2. Low"
"E01000025",233202.07,38416.67,36,5.75,"2. Low"
"E01000027",223404.8,37286.67,42,3.86,"1. Lowest"
"E01000028",204444.78,36240,43.1,3.01,"1. Lowest"
"E01000029",281308.08,40363.33,26.7,2.52,"1. Lowest"
"E01000030",218261.02,36300,41.3,4.82,"1. Lowest"
"E01000031",278274.28,43353.33,25.1,4.08,"1. Lowest"
"E01000032",260576.74,41146.67,30.4,6.69,"2. Low"
"E01000033",242412.13,38353.33,41.4,3.92,"1. Lowest"
"E01000034",251760.78,41220,37,3.51,"1. Lowest"
"E01000035",248881.2,42223.33,27,6.78,"2. Low"
"E01000036",240838.8,43726.67,20.9,7.35,"2. Low"
"E01000037",267369.57,46156.67,20.1,2.32,"1. Lowest"
"E01000038",283497.83,43636.67,19.1,8.36,"2. Low"
"E01000039",263212.24,44133.33,23.5,2,"1. Lowest"
"E01000040",240193.6,38180,34.7,9.01,"2. Low"
"E01000041",248745.72,38106.67,34.7,5.72,"2. Low"
"E01000042",221773.99,36763.33,43.9,8.49,"2. Low"
"E01000043",253283.5,39083.33,33.7,7.27,"2. Low"
"E01000044",245238.82,40173.33,31.1,8.71,"2. Low"
"E01000045",224985.89,38716.67,37.9,7.09,"2. Low"
"E01000046",241140.18,37640,31.1,6.09,"2. Low"
"E01000048",271516.08,32600,49.3,8.14,"2. Low"
"E01000049",204635.42,34323.33,41.4,7.74,"2. Low"
"E01000050",242004.83,36610,35.7,23.45,"4. High"
"E01000051",304477.78,32730,42.7,13.44,"3. Medium"
"E01000052",241871.78,37093.33,31.6,7.91,"2. Low"
"E01000053",194971.81,37656.67,42.1,5.84,"2. Low"
"E01000054",240757.41,38940,32.8,6.31,"2. Low"
"E01000055",246681.84,38876.67,32.6,7.79,"2. Low"
"E01000056",223027.84,38530,42.4,1.63,"1. Lowest"
"E01000057",228075.94,38583.33,40.2,9.98,"2. Low"
"E01000058",217977.95,39173.33,31.6,7.26,"2. Low"
"E01000059",239049.43,38053.33,38.3,5.43,"2. Low"
"E01000060",239278.47,37506.67,40.9,4.75,"1. Lowest"
"E01000061",145583.33,33476.67,56.6,7.36,"2. Low"
"E01000062",252312.71,38213.33,31.3,4.49,"1. Lowest"
"E01000063",231444.82,37473.33,34.8,7.43,"2. Low"
"E01000064",218391.47,36886.67,35.2,4.11,"1. Lowest"
"E01000065",241593.2,35633.33,39.7,5.83,"2. Low"
"E01000066",293907.92,44376.67,24.2,3.48,"1. Lowest"
"E01000067",314031.19,45590,21,5.81,"2. Low"
"E01000068",351541.56,47426.67,26,16.95,"3. Medium"
"E01000069",396518.65,48346.67,15.8,8.91,"2. Low"
"E01000070",359341.58,46883.33,20.9,9.09,"2. Low"
"E01000071",317480.46,45423.33,18.3,8.5,"2. Low"
"E01000072",215475.59,35440,44.3,3.47,"1. Lowest"
"E01000073",243415.87,37726.67,39.5,3.68,"1. Lowest"
"E01000074",212149.96,37713.33,35.3,5.22,"2. Low"
"E01000075",260757.63,38433.33,38.6,9.07,"2. Low"
"E01000076",221488.98,36650,39,5.92,"2. Low"
"E01000077",236048.63,36593.33,36.7,7.49,"2. Low"
"E01000078",235137.24,36940,37,6.91,"2. Low"
"E01000079",231639.64,36986.67,37.5,5.87,"2. Low"
"E01000080",244196.77,36716.67,34.1,5.89,"2. Low"
"E01000081",234917.71,37836.67,31.7,4.96,"1. Lowest"
"E01000082",209069.99,37923.33,32.1,4.94,"1. Lowest"
"E01000083",216651.93,37416.67,38.2,7.39,"2. Low"
"E01000084",232227.77,38116.67,41.8,13.92,"3. Medium"
"E01000085",225803.07,36186.67,38.8,13.56,"3. Medium"
"E01000086",235226.9,38940,37.9,11.32,"3. Medium"
"E01000087",244428.27,38460,34.4,7.1,"2. Low"
"E01000088",221726.6,40536.67,30.2,4.09,"1. Lowest"
"E01000089",222907.28,39676.67,29.6,3.15,"1. Lowest"
"E01000090",212336.38,40373.33,30.7,2.62,"1. Lowest"
"E01000091",218872.22,35263.33,44.1,4.7,"1. Lowest"
"E01000092",200387.94,39593.33,32.7,1.89,"1. Lowest"
"E01000093",188391.9,35436.67,45.2,4.77,"1. Lowest"
"E01000094",205591.12,40450,31.6,3.09,"1. Lowest"
"E01000095",230389.29,40836.67,35.8,3.5,"1. Lowest"
"E01000096",258652.43,35483.33,44.2,3.52,"1. Lowest"
"E01000097",254421.33,38403.33,41.1,14.57,"3. Medium"
"E01000098",242322.76,37886.67,38.4,11.06,"3. Medium"
"E01000099",253526.52,39330,32.3,9.59,"2. Low"
"E01000100",247158.84,38460,34.9,4.92,"1. Lowest"
"E01000101",245151.28,37906.67,39.7,8.7,"2. Low"
"E01000102",234449.06,38533.33,38.1,5.78,"2. Low"
"E01000103",217841.39,36710,40.8,3.05,"1. Lowest"
"E01000104",226747.17,36116.67,37.7,8.25,"2. Low"
"E01000105",197427.8,35313.33,46.9,8.92,"2. Low"
"E01000106",178516.9,35840,46.2,4.77,"1. Lowest"
"E01000107",253543.01,40400,26.9,2.68,"1. Lowest"
"E01000108",218367.21,39980,27.9,9.59,"2. Low"
"E01000109",266036.59,41953.33,28.5,4.31,"1. Lowest"
"E01000110",304936.38,46460,16.3,5.2,"2. Low"
"E01000111",251822.18,40983.33,31,5.31,"2. Low"
"E01000112",215127.7,42353.33,23.2,9.71,"2. Low"
"E01000113",226087.62,43993.33,26.6,14.54,"3. Medium"
"E01000114",228766.51,42020,26.8,5.97,"2. Low"
"E01000115",717502.8,59473.33,4.9,7.01,"2. Low"
"E01000116",478823.08,53746.67,9.7,5.31,"2. Low"
"E01000117",438124.67,50240,11.2,5.75,"2. Low"
"E01000118",414941.13,51016.67,11.8,5.74,"2. Low"
"E01000119",596097.5,56400,12.6,8.41,"2. Low"
"E01000120",597882.46,57176.67,8.8,7.21,"2. Low"
"E01000121",382142.46,43263.33,38.8,3.31,"1. Lowest"
"E01000122",581788.97,55473.33,10,3.91,"1. Lowest"
"E01000123",419611.97,49353.33,12.2,5.59,"2. Low"
"E01000124",352821.96,44653.33,25.5,12.91,"3. Medium"
"E01000125",270818.87,38336.67,32.5,12.38,"3. Medium"
"E01000126",263109.99,37256.67,35.4,4.62,"1. Lowest"
"E01000127",310771.71,38246.67,30.2,14.67,"3. Medium"
"E01000128",326415.48,40070,26.8,14.62,"3. Medium"
"E01000129",217585.42,36573.33,37.4,20.56,"4. High"
"E01000130",288834.08,40790,33.4,9.85,"2. Low"
"E01000131",344657.24,42093.33,21.1,8.72,"2. Low"
"E01000132",313007.75,40523.33,27.7,10.03,"3. Medium"
"E01000133",314405.66,39040,35.6,11.54,"3. Medium"
"E01000134",294960.56,39456.67,24.9,11.04,"3. Medium"
"E01000135",1025239.75,60780,13.2,14.62,"3. Medium"
"E01000136",2391948.13,86203.33,9.4,11.63,"3. Medium"
"E01000137",453361.67,43080,32.7,11.49,"3. Medium"
"E01000138",585727.13,48836.67,30.3,10.27,"3. Medium"
"E01000139",1070262.82,53023.33,13.5,10.19,"3. Medium"
"E01000140",645473.68,48750,17.7,14.51,"3. Medium"
"E01000141",412339.73,42670,34.1,17.38,"3. Medium"
"E01000142",435217.55,46276.67,20.6,12.98,"3. Medium"
"E01000143",660974.18,43616.67,34.6,13.92,"3. Medium"
"E01000144",987221.21,59566.67,20.9,24.47,"4. High"
"E01000145",1007053.18,57330,13.8,12.03,"3. Medium"
"E01000146",1083862.26,55700,18.1,30.03,"5. Highest"
"E01000147",461979.17,44223.33,12.2,4.93,"1. Lowest"
"E01000148",310090.13,38960,30.8,11.27,"3. Medium"
"E01000150",326944.12,42346.67,19.1,5.1,"2. Low"
"E01000151",245100,36420,41.9,4.14,"1. Lowest"
"E01000152",354575,36323.33,38.6,3.95,"1. Lowest"
"E01000153",296784.8,37743.33,47.9,5.49,"2. Low"
"E01000154",306245.26,35920,35.6,9.28,"2. Low"
"E01000155",318523.19,41170,22.7,12.02,"3. Medium"
"E01000156",583303.83,52746.67,11.1,8.16,"2. Low"
"E01000157",408140.34,48270,17.3,4.75,"1. Lowest"
"E01000158",462537.28,49906.67,20,6.75,"2. Low"
"E01000159",513171.73,52726.67,19,4.51,"1. Lowest"
"E01000160",491544.81,55490,14.2,7.36,"2. Low"
"E01000161",446475,49336.67,16.8,9.43,"2. Low"
"E01000162",497457.71,49480,22.7,10.21,"3. Medium"
"E01000163",284739.13,42570,33,3.8,"1. Lowest"
"E01000164",395746.56,44546.67,29.8,7.31,"2. Low"
"E01000165",434248.19,50496.67,15.7,8.9,"2. Low"
"E01000166",462497.14,52563.33,16.2,5.25,"2. Low"
"E01000167",381034.19,45860,28,1.79,"1. Lowest"
"E01000168",578439.43,58210,6.9,6.79,"2. Low"
"E01000169",447186.03,52893.33,13.3,6.72,"2. Low"
"E01000170",451649.56,48883.33,21.8,8.01,"2. Low"
"E01000171",289292.91,47920,26.3,11.33,"3. Medium"
"E01000172",505360.65,54613.33,9.4,3.48,"1. Lowest"
"E01000173",429656.8,53840,9.5,3.15,"1. Lowest"
"E01000174",347165.92,47790,18.7,9.7,"2. Low"
"E01000175",499709.22,54896.67,9.6,5.88,"2. Low"
"E01000176",457225.45,45046.67,30.9,3.72,"1. Lowest"
"E01000177",599103.24,57503.33,8.6,5.03,"2. Low"
"E01000178",680211.67,55540,11.1,4.03,"1. Lowest"
"E01000179",479317.02,56680,8.9,3.1,"1. Lowest"
"E01000180",574140.47,51710,16.3,8.58,"2. Low"
"E01000181",779876.11,62670,8.5,14.15,"3. Medium"
"E01000182",630851.49,58423.33,9.1,14.5,"3. Medium"
"E01000183",582379.25,62643.33,11.1,2.93,"1. Lowest"
"E01000184",353398.54,43656.67,34.4,1.94,"1. Lowest"
"E01000185",352651.68,42406.67,33.4,2.91,"1. Lowest"
"E01000186",683403.82,58466.67,4.9,7.95,"2. Low"
"E01000187",519861.53,51476.67,15,4.1,"1. Lowest"
"E01000188",754542.01,59683.33,8.6,0.98,"1. Lowest"
"E01000189",514509.12,41356.67,37.9,1.92,"1. Lowest"
"E01000190",542260.84,56326.67,11.8,4.05,"1. Lowest"
"E01000191",487396.13,57626.67,8,10.54,"3. Medium"
"E01000192",552037.1,49810,15.6,21.43,"4. High"
"E01000193",412255.53,50916.67,16,20.07,"4. High"
"E01000194",453200.15,47053.33,19.1,16.01,"3. Medium"
"E01000195",273666.29,41406.67,31.9,1.5,"1. Lowest"
"E01000196",472923.39,54510,14.8,15.33,"3. Medium"
"E01000197",629816.59,56326.67,12.9,9.2,"2. Low"
"E01000198",485261.74,58843.33,12.7,3.23,"1. Lowest"
"E01000199",745242.54,62413.33,6.9,4.5,"1. Lowest"
"E01000200",780512.08,58700,10.6,6.87,"2. Low"
"E01000201",1312075.6,71366.67,7.7,6.12,"2. Low"
"E01000202",674436.23,63960,7.6,7.47,"2. Low"
"E01000203",653664.64,53236.67,16.7,5.04,"2. Low"
"E01000204",855100.69,58983.33,10.9,11.44,"3. Medium"
"E01000205",826354.26,70633.33,7.7,4.21,"1. Lowest"
"E01000206",4170457.58,111596.67,9.4,2.8,"1. Lowest"
"E01000207",1106550.74,78506.67,6.4,3.9,"1. Lowest"
"E01000208",1170644.16,73013.33,8.1,10.28,"3. Medium"
"E01000209",1089211.08,69373.33,7.9,5.38,"2. Low"
"E01000210",870996.13,71356.67,8.4,3.92,"1. Lowest"
"E01000211",430761.56,54583.33,17.4,8.36,"2. Low"
"E01000212",1482607.85,73446.67,8.8,7.75,"2. Low"
"E01000213",2463729.36,103746.67,5.8,3.38,"1. Lowest"
"E01000214",1090065.03,65813.33,11.8,16.64,"3. Medium"
"E01000215",696626.63,56500,12.9,12.71,"3. Medium"
"E01000216",854499.82,62613.33,10.9,8.8,"2. Low"
"E01000217",1002594.43,62183.33,11.8,6.09,"2. Low"
"E01000218",762137.95,56550,13.4,14.02,"3. Medium"
"E01000219",486384.56,54223.33,16.9,18.71,"3. Medium"
"E01000220",835067.59,52726.67,16.2,13.65,"3. Medium"
"E01000221",352793.87,40150,44,13.35,"3. Medium"
"E01000222",512676.52,45653.33,29.8,6.69,"2. Low"
"E01000223",445245.08,42710,34.4,8.45,"2. Low"
"E01000224",531028.74,48793.33,20.2,9.29,"2. Low"
"E01000225",877716.91,60256.67,11.3,5.42,"2. Low"
"E01000226",314553.29,40603.33,30.5,6.73,"2. Low"
"E01000227",483438.51,52510,11.7,5.57,"2. Low"
"E01000228",741825.79,60656.67,13.4,0.81,"1. Lowest"
"E01000229",381882.41,46390,24.9,2.5,"1. Lowest"
"E01000230",451915.6,51910,10,5.13,"2. Low"
"E01000231",390448.47,49196.67,16.1,2.99,"1. Lowest"
"E01000232",527003.03,52003.33,15.7,7.25,"2. Low"
"E01000233",539519.36,53593.33,11,7.01,"2. Low"
"E01000234",561478.55,53840,11.5,11.87,"3. Medium"
"E01000235",466154.94,45323.33,26.7,12.18,"3. Medium"
"E01000236",648854.05,54340,12.4,6.55,"2. Low"
"E01000237",903854.8,52230,12.1,14.37,"3. Medium"
"E01000238",516348.8,52536.67,14.1,4.37,"1. Lowest"
"E01000239",309707.29,48463.33,20.8,5.81,"2. Low"
"E01000240",440408.14,51213.33,20.2,2.38,"1. Lowest"
"E01000241",691964.4,54390,12,2.21,"1. Lowest"
"E01000242",792862.78,53616.67,21.5,4.83,"1. Lowest"
"E01000243",395632.68,47713.33,18.2,7.49,"2. Low"
"E01000244",568799.81,49293.33,16,8.21,"2. Low"
"E01000245",362316.53,43673.33,30.9,10.41,"3. Medium"
"E01000246",489911.69,56750,10.5,2.35,"1. Lowest"
"E01000247",392417.86,54560,9.8,4.87,"1. Lowest"
"E01000248",536425.75,60220,9.6,10.53,"3. Medium"
"E01000249",637240.05,63856.67,6.1,2.12,"1. Lowest"
"E01000250",414829.44,56480,15.6,8.55,"2. Low"
"E01000251",362523.44,50516.67,20.5,11.95,"3. Medium"
"E01000252",430579.08,52850,16.1,8.41,"2. Low"
"E01000253",1149397.71,69930,10.5,1.17,"1. Lowest"
"E01000254",615845.08,62696.67,9.2,0.54,"1. Lowest"
"E01000255",573820.5,49680,21,1.78,"1. Lowest"
"E01000256",614508.97,58200,13.9,3.63,"1. Lowest"
"E01000257",443200.09,44793.33,29.7,7.1,"2. Low"
"E01000258",701022.59,58563.33,12.5,6.78,"2. Low"
"E01000259",496241.76,54660,14.6,1.75,"1. Lowest"
"E01000260",436021.77,52143.33,24.6,2.56,"1. Lowest"
"E01000261",929248.58,57633.33,9.7,2.93,"1. Lowest"
"E01000262",639789.4,52286.67,14.9,1.96,"1. Lowest"
"E01000263",1316808.49,71153.33,5.7,5.37,"2. Low"
"E01000264",554133.75,52810,18.6,10.95,"3. Medium"
"E01000265",317539.48,47250,19.3,5.79,"2. Low"
"E01000266",868016.35,61116.67,8,4.41,"1. Lowest"
"E01000267",590127.24,56646.67,14.3,7.58,"2. Low"
"E01000268",385970.53,52360,20.2,13.78,"3. Medium"
"E01000269",469405.41,55040,10.6,10.03,"3. Medium"
"E01000270",493666.71,56780,11,10.49,"3. Medium"
"E01000271",690365.68,57443.33,8.9,9.08,"2. Low"
"E01000272",948233.43,66153.33,6.2,7.16,"2. Low"
"E01000273",609396.67,52746.67,15.8,12.15,"3. Medium"
"E01000274",429102.99,48546.67,19.1,6.76,"2. Low"
"E01000275",542287.29,55983.33,13.4,7.43,"2. Low"
"E01000276",897986.11,68920,3.8,2.91,"1. Lowest"
"E01000277",382852.14,49413.33,20.7,10.14,"3. Medium"
"E01000278",797543.12,67573.33,4.7,5.13,"2. Low"
"E01000279",1512249.1,81280,6.6,1.49,"1. Lowest"
"E01000280",1166486.82,72156.67,3.3,4.76,"1. Lowest"
"E01000281",402524.51,51103.33,17.8,10.2,"3. Medium"
"E01000282",639457.21,60550,8.8,9.59,"2. Low"
"E01000283",898828.67,66266.67,5.5,4.22,"1. Lowest"
"E01000284",446030.87,50753.33,17.8,7.86,"2. Low"
"E01000286",347821.86,46480,26.2,4.58,"1. Lowest"
"E01000287",366813.77,44406.67,27.8,4.13,"1. Lowest"
"E01000288",472841.52,49580,13.5,8.34,"2. Low"
"E01000289",301774.11,40430,40.8,6.94,"2. Low"
"E01000290",681447.52,49990,24.5,1.48,"1. Lowest"
"E01000291",437624.57,40933.33,35.6,3.04,"1. Lowest"
"E01000292",504290.63,53283.33,13.4,8.11,"2. Low"
"E01000293",560600.17,58136.67,8.3,16.18,"3. Medium"
"E01000294",470176.09,50196.67,14.6,6.76,"2. Low"
"E01000295",672024.71,57503.33,11.8,14.57,"3. Medium"
"E01000296",481198.34,54720,13.7,16.8,"3. Medium"
"E01000297",449107.87,50250,11.1,5.74,"2. Low"
"E01000298",566497.25,54233.33,13.5,12.43,"3. Medium"
"E01000299",353700.31,49453.33,18.1,13,"3. Medium"
"E01000300",581702.7,53250,12,11.13,"3. Medium"
"E01000301",639621.98,64973.33,6.8,11.16,"3. Medium"
"E01000302",417171.25,50550,17.5,14.06,"3. Medium"
"E01000303",655896.26,64140,7.3,7.75,"2. Low"
"E01000304",539620.46,57663.33,14.7,8.91,"2. Low"
"E01000305",330704.6,42010,29.6,4.54,"1. Lowest"
"E01000306",375731.12,44350,17.1,10.65,"3. Medium"
"E01000307",431336.05,43103.33,23.8,13.58,"3. Medium"
"E01000308",348357.14,39273.33,48.1,3.59,"1. Lowest"
"E01000309",541881.4,53013.33,13.9,13.43,"3. Medium"
"E01000310",512202.12,48716.67,19.6,16.94,"3. Medium"
"E01000311",906051.58,62073.33,10.2,11.25,"3. Medium"
"E01000312",266567.66,41560,26.8,7.46,"2. Low"
"E01000313",407645.93,43430,24.6,12.43,"3. Medium"
"E01000314",600344.74,52690,12.2,17.89,"3. Medium"
"E01000315",430998.57,43043.33,34.3,4.28,"1. Lowest"
"E01000316",425360.09,47476.67,21.7,5.18,"2. Low"
"E01000317",481407.79,51426.67,13.3,13.01,"3. Medium"
"E01000318",602512.28,51670,14,7.65,"2. Low"
"E01000319",551048.22,54276.67,10,5.8,"2. Low"
"E01000320",589010.39,54153.33,10.5,4.42,"1. Lowest"
"E01000321",424122.97,50676.67,19,8.32,"2. Low"
"E01000322",406057.79,49366.67,17.7,5.71,"2. Low"
"E01000323",381893.83,47490,22.1,12.34,"3. Medium"
"E01000324",514757.92,52656.67,14.5,6.65,"2. Low"
"E01000325",394074.6,50173.33,5,8.33,"2. Low"
"E01000326",245110.13,47203.33,11.5,3.41,"1. Lowest"
"E01000327",368681.17,47786.67,8.2,13.2,"3. Medium"
"E01000328",284358.65,45360,9.4,2.85,"1. Lowest"
"E01000329",257983.92,44146.67,17,8.28,"2. Low"
"E01000330",229122.32,42063.33,16.3,17.44,"3. Medium"
"E01000331",271716.22,40993.33,25.5,3.1,"1. Lowest"
"E01000332",243061.5,41123.33,16.1,7.26,"2. Low"
"E01000333",235541.7,39040,28.1,4.65,"1. Lowest"
"E01000334",261556.69,43546.67,13.5,3.74,"1. Lowest"
"E01000335",165012.39,38133.33,31.6,3.69,"1. Lowest"
"E01000336",177897.72,36790,32.9,8.94,"2. Low"
"E01000337",232524.12,41320,19.9,4.86,"1. Lowest"
"E01000338",215586.64,40653.33,18.5,7.49,"2. Low"
"E01000339",340894.42,47273.33,13.4,4.68,"1. Lowest"
"E01000340",299839.58,45140,12.5,2.62,"1. Lowest"
"E01000341",316547.97,48156.67,7.9,3.28,"1. Lowest"
"E01000342",249830.09,48016.67,8.4,2.81,"1. Lowest"
"E01000343",349260.47,48646.67,8.8,4.57,"1. Lowest"
"E01000344",332839.4,48516.67,5.8,4.49,"1. Lowest"
"E01000345",390887.99,50756.67,5.3,4.67,"1. Lowest"
"E01000346",312374.93,46350,7.8,3.84,"1. Lowest"
"E01000347",264501.45,44290,12.5,4.94,"1. Lowest"
"E01000348",456269.02,53450,4.4,3.24,"1. Lowest"
"E01000349",384382.15,50913.33,6.4,4.26,"1. Lowest"
"E01000350",347515.2,47520,7.4,3.73,"1. Lowest"
"E01000351",324629.82,47523.33,6.2,3.14,"1. Lowest"
"E01000352",274907.54,45096.67,15.2,4.45,"1. Lowest"
"E01000353",372960.06,48846.67,4,3.9,"1. Lowest"
"E01000354",298910.25,44983.33,19.9,6.97,"2. Low"
"E01000355",323232.22,46533.33,8.5,7.68,"2. Low"
"E01000356",363647.09,47520,6.8,12.16,"3. Medium"
"E01000357",388483.94,51053.33,4,6.54,"2. Low"
"E01000358",279274.26,47863.33,7,8.54,"2. Low"
"E01000359",319473.66,50420,5.6,4.7,"1. Lowest"
"E01000360",258351.22,46470,18.5,16.18,"3. Medium"
"E01000361",322350.89,47950,11.6,5.09,"2. Low"
"E01000362",314505.74,46306.67,11.3,15.06,"3. Medium"
"E01000363",398721.75,49280,7.4,5.38,"2. Low"
"E01000364",324571.17,48113.33,11.3,3.82,"1. Lowest"
"E01000365",256989.31,44643.33,15.9,10.99,"3. Medium"
"E01000366",330679.38,47620,9.9,15.44,"3. Medium"
"E01000367",200907.88,37826.67,32,3.21,"1. Lowest"
"E01000368",236422.79,38206.67,31.2,2.42,"1. Lowest"
"E01000369",285643.79,43913.33,13.7,4.21,"1. Lowest"
"E01000370",325723.93,45700,9.2,10.76,"3. Medium"
"E01000371",264659.06,45153.33,8.8,4.98,"1. Lowest"
"E01000372",288313.15,38433.33,29.2,3.5,"1. Lowest"
"E01000373",297727.27,35933.33,33,3.11,"1. Lowest"
"E01000374",235191.24,37453.33,38.4,2.26,"1. Lowest"
"E01000375",241521.64,41533.33,20.6,6.52,"2. Low"
"E01000376",247453.3,42433.33,13,2.19,"1. Lowest"
"E01000377",214227.96,44020,11.8,1.63,"1. Lowest"
"E01000378",243853.36,42520,21.5,4.31,"1. Lowest"
"E01000379",303717.72,43223.33,19.6,7.05,"2. Low"
"E01000380",203362.86,38420,24.6,5.19,"2. Low"
"E01000381",280472.29,40153.33,26.8,1.43,"1. Lowest"
"E01000382",364506.73,48103.33,5.8,3.01,"1. Lowest"
"E01000383",385873.47,42500,19.8,0.68,"1. Lowest"
"E01000384",293133.83,44433.33,11.4,7.69,"2. Low"
"E01000385",269203.96,37823.33,30.2,3.62,"1. Lowest"
"E01000386",201568.45,36690,36,6.66,"2. Low"
"E01000387",321077.68,45136.67,11.3,7.45,"2. Low"
"E01000388",327267.49,45360,11.5,4.36,"1. Lowest"
"E01000389",343244.32,47496.67,12,8.04,"2. Low"
"E01000390",382065.44,46753.33,10,2.9,"1. Lowest"
"E01000391",291517.04,43730,13.3,1.68,"1. Lowest"
"E01000392",282175.61,40923.33,27.4,11.24,"3. Medium"
"E01000393",298428.76,46826.67,9.1,8.81,"2. Low"
"E01000394",293873.87,46916.67,9.6,15.49,"3. Medium"
"E01000395",374805.09,47876.67,6.1,4.95,"1. Lowest"
"E01000396",335429.14,46193.33,7.4,4.8,"1. Lowest"
"E01000398",276202.22,40316.67,20.8,3.36,"1. Lowest"
"E01000399",331237.09,43286.67,10.2,8.83,"2. Low"
"E01000400",272569.11,42526.67,13,10.41,"3. Medium"
"E01000401",260747.69,40743.33,26.6,11.84,"3. Medium"
"E01000402",202328.57,40463.33,20.6,3.55,"1. Lowest"
"E01000403",193127.6,39116.67,28.9,9.62,"2. Low"
"E01000404",165737.37,38836.67,28.3,7.16,"2. Low"
"E01000405",223363.1,40046.67,24.9,2.41,"1. Lowest"
"E01000406",220013.56,40120,25,2.82,"1. Lowest"
"E01000407",286178.75,40716.67,16.8,5.89,"2. Low"
"E01000408",236079.71,39583.33,21.5,2.32,"1. Lowest"
"E01000409",317783.46,45983.33,6.5,6.05,"2. Low"
"E01000410",313227.91,46676.67,6.7,3.39,"1. Lowest"
"E01000411",311170.52,45290,9.5,3.94,"1. Lowest"
"E01000412",304173.63,47630,10.6,6.78,"2. Low"
"E01000413",278995.86,45420,12.3,3.14,"1. Lowest"
"E01000414",275009.17,43590,14.1,15.58,"3. Medium"
"E01000415",362284.89,47990,6,10.02,"3. Medium"
"E01000416",272714.54,39843.33,26.4,14.24,"3. Medium"
"E01000417",297851.11,43376.67,18.5,6.47,"2. Low"
"E01000418",261579.01,40033.33,21.5,8.33,"2. Low"
"E01000419",309149.32,44450,7.6,3.82,"1. Lowest"
"E01000420",281518.44,45330,10.5,4.25,"1. Lowest"
"E01000421",343013.54,44563.33,7.3,3.69,"1. Lowest"
"E01000422",170618.18,35723.33,39.7,9.61,"2. Low"
"E01000423",404183.44,51313.33,3.7,5.63,"2. Low"
"E01000424",350453.69,49643.33,8.3,12.06,"3. Medium"
"E01000425",466015.95,51883.33,5.6,2.02,"1. Lowest"
"E01000426",290912.91,47946.67,8.7,4.02,"1. Lowest"
"E01000427",307089.64,44756.67,12.4,3.51,"1. Lowest"
"E01000428",274055.21,44673.33,24.5,8.35,"2. Low"
"E01000429",133997.15,34946.67,41.9,1.88,"1. Lowest"
"E01000430",227878.11,39410,18.5,0.74,"1. Lowest"
"E01000431",198829.7,35206.67,38.8,3.88,"1. Lowest"
"E01000432",269651.39,36743.33,29.4,6.73,"2. Low"
"E01000433",208041.82,35576.67,37.8,9.43,"2. Low"
"E01000434",228723.38,34450,37.5,3.06,"1. Lowest"
"E01000435",231008.38,36713.33,28.5,6.34,"2. Low"
"E01000436",388333.33,47803.33,6.2,5.01,"2. Low"
"E01000437",295638.07,44633.33,12.8,2.77,"1. Lowest"
"E01000438",240425.74,43050,13.2,3.66,"1. Lowest"
"E01000439",255415.42,41150,24.8,4.73,"1. Lowest"
"E01000440",351241.45,45230,6.6,2.87,"1. Lowest"
"E01000441",256307.26,41260,28.1,3.74,"1. Lowest"
"E01000442",309889.29,43846.67,13.6,4.72,"1. Lowest"
"E01000443",334290.09,46656.67,18.9,9.31,"2. Low"
"E01000444",552554.05,55810,5.8,1.74,"1. Lowest"
"E01000445",410303.25,50636.67,5.1,5.53,"2. Low"
"E01000446",306563.34,48436.67,6,5.51,"2. Low"
"E01000447",303097.44,51350,10.5,7.29,"2. Low"
"E01000448",529752.23,56673.33,2.7,6.52,"2. Low"
"E01000449",446851.43,54576.67,5.5,7.69,"2. Low"
"E01000450",328459.14,44343.33,18.5,3.66,"1. Lowest"
"E01000451",311280.94,46793.33,9,4.69,"1. Lowest"
"E01000452",328028.99,47593.33,6.8,3.57,"1. Lowest"
"E01000453",325493.18,46086.67,9.4,3.33,"1. Lowest"
"E01000454",268077.79,42056.67,19.2,5.2,"2. Low"
